Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,3.9
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Sports,v21419997,1.2.3.7,4.4
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,7.0
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,9.6
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,10.0
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,10.4
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,10.2
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,10.7
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Variety and games,v21419998,1.2.3.8,12.5
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.4
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.5
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.3
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.5
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.3
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.4
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Music and dance,v21419999,1.2.3.9,0.3
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,12.6
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,12.1
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,12.5
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,11.4
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,11.6
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,11.4
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Comedy,v21420000,1.2.3.10,9.8
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,25.7
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,25.4
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,23.6
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,24.5
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,24.0
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,22.6
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Drama,v21420001,1.2.3.11,24.8
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,5.8
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,5.7
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,5.1
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,4.8
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,5.0
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,4.9
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420002,1.2.3.12,5.2
1998,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,6.4
1999,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,3.6
2000,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,3.0
2001,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,2.2
2002,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,2.5
2003,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,2.2
2004,Canada,"Anglophones, two years and older",Foreign television programmes,Other television programmes,v21420003,1.2.3.13,3.2
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21420004,1.3.1.1,100.0
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,29.1
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,29.2
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,31.8
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,35.4
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,33.4
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,31.5
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21420005,1.3.1.2,32.2
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,1.9
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,2.3
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,2.7
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,4.0
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,3.2
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,4.4
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21420006,1.3.1.3,3.2
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,2.3
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,2.6
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,2.5
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,2.2
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,3.6
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,3.2
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21420007,1.3.1.4,3.4
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,0.6
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,1.0
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,1.2
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,1.2
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,0.9
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,0.8
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21420008,1.3.1.5,0.7
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.2
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Religion,v21420009,1.3.1.6,0.3
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,5.1
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,4.7
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,4.7
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,4.9
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,5.4
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,5.5
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Sports,v21420010,1.3.1.7,3.2
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,17.3
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,14.8
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,13.2
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,10.7
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,11.9
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,15.6
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21420011,1.3.1.8,18.0
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,0.9
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,0.8
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,0.8
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,1.0
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,0.8
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,1.8
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21420012,1.3.1.9,1.4
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,7.8
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,7.4
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,8.8
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,9.9
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,9.9
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,8.7
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21420013,1.3.1.10,8.3
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,28.3
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,30.8
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,28.7
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,26.3
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,26.6
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,23.6
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Drama,v21420014,1.3.1.11,24.0
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,4.1
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,3.9
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,3.1
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,2.8
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,3.0
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,3.5
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21420015,1.3.1.12,3.7
1998,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,2.5
1999,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,2.3
2000,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,2.3
2001,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,1.3
2002,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,1.1
2003,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,1.1
2004,Canada,"Francophones, two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21420016,1.3.1.13,1.7
1998,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,66.9
1999,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,65.9
2000,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,65.7
2001,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,68.5
2002,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,67.9
2003,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,68.8
2004,Canada,"Francophones, two years and older",Canadian television programmes,"Total, all types of television programmes",v21420017,1.3.2.1,65.2
1998,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,27.5
1999,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,28.0
2000,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,30.5
2001,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,33.7
2002,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,30.4
2003,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,29.6
2004,Canada,"Francophones, two years and older",Canadian television programmes,News and public affairs,v21420018,1.3.2.2,30.3
1998,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,1.2
1999,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,1.4
2000,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,1.5
2001,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,3.1
2002,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,2.4
2003,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,3.2
2004,Canada,"Francophones, two years and older",Canadian television programmes,Documentary,v21420019,1.3.2.3,2.0
1998,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,2.1
1999,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,2.3
2000,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,2.3
2001,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,1.9
2002,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,3.1
2003,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,2.8
2004,Canada,"Francophones, two years and older",Canadian television programmes,Academic instruction,v21420020,1.3.2.4,3.1
1998,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.2
1999,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.5
2000,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.9
2001,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.9
2002,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.7
2003,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.7
2004,Canada,"Francophones, two years and older",Canadian television programmes,Social and/or recreational instruction,v21420021,1.3.2.5,0.5
1998,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.2
1999,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.3
2000,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.2
2001,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.3
2002,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.2
2003,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.3
2004,Canada,"Francophones, two years and older",Canadian television programmes,Religion,v21420022,1.3.2.6,0.2
1998,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,4.3
1999,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,3.6
2000,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,3.5
2001,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,3.6
2002,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,4.5
2003,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,4.3
2004,Canada,"Francophones, two years and older",Canadian television programmes,Sports,v21420023,1.3.2.7,1.8
1998,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,15.4
1999,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,12.7
2000,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,10.5
2001,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,8.2
2002,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,9.8
2003,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,13.3
2004,Canada,"Francophones, two years and older",Canadian television programmes,Variety and games,v21420024,1.3.2.8,12.3
1998,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,0.6
1999,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,0.5
2000,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,0.6
2001,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,0.7
2002,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,0.6
2003,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,1.6
2004,Canada,"Francophones, two years and older",Canadian television programmes,Music and dance,v21420025,1.3.2.9,1.3
1998,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,2.4
1999,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,2.2
2000,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,3.2
2001,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,4.8
2002,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,4.7
2003,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,3.6
2004,Canada,"Francophones, two years and older",Canadian television programmes,Comedy,v21420026,1.3.2.10,4.0
1998,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,12.9
1999,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,14.4
2000,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,12.5
2001,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,11.3
2002,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,11.5
2003,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,9.4
2004,Canada,"Francophones, two years and older",Canadian television programmes,Drama,v21420027,1.3.2.11,9.5
1998,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
1999,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
2000,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
2001,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
2002,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
2003,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
2004,Canada,"Francophones, two years and older",Canadian television programmes,Videocassette recorder (VCR),v21420028,1.3.2.12,0.0
1998,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
1999,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
2000,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
2001,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
2002,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
2003,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
2004,Canada,"Francophones, two years and older",Canadian television programmes,Other television programmes,v21420029,1.3.2.13,0.0
1998,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,33.1
1999,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,34.1
2000,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,34.3
2001,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,31.5
2002,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,32.1
2003,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,31.2
2004,Canada,"Francophones, two years and older",Foreign television programmes,"Total, all types of television programmes",v21420030,1.3.3.1,34.8
1998,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.6
1999,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.2
2000,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.3
2001,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.7
2002,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,3.0
2003,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.9
2004,Canada,"Francophones, two years and older",Foreign television programmes,News and public affairs,v21420031,1.3.3.2,1.8
1998,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,0.7
1999,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,0.9
2000,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,1.2
2001,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,0.9
2002,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,0.9
2003,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,1.2
2004,Canada,"Francophones, two years and older",Foreign television programmes,Documentary,v21420032,1.3.3.3,1.2
1998,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.2
1999,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.3
2000,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.2
2001,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.3
2002,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.5
2003,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.4
2004,Canada,"Francophones, two years and older",Foreign television programmes,Academic instruction,v21420033,1.3.3.4,0.3
1998,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.4
1999,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.5
